 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
501,ER.ATL2.png,1,2.828,1.000,1.414,125,128,135.000,1.000,1.000,1.000,1.000
502,ER.ATL2.png,1,2.828,1.000,1.414,293,128,135.000,1.000,1.000,1.000,1.000
503,ER.ATL2.png,2,4.828,1.000,2.236,108,129,116.565,1.000,2.000,0.500,1.000
504,ER.ATL2.png,3,7.071,0.754,3.606,131,129,146.310,1.789,2.702,0.370,0.667
505,ER.ATL2.png,1,2.828,1.000,1.414,289,129,135.000,1.000,1.000,1.000,1.000
506,ER.ATL2.png,2,4.243,1.000,2.236,432,129,153.435,1.000,2.000,0.500,1.000
507,ER.ATL2.png,1,2.828,1.000,1.414,435,129,135.000,1.000,1.000,1.000,1.000
508,ER.ATL2.png,3,6.828,0.809,3.162,283,130,108.435,1.000,3.000,0.333,1.000
509,ER.ATL2.png,26,30.042,0.362,10.440,110,131,106.699,5.000,2.075,0.482,0.642
510,ER.ATL2.png,2,4.243,1.000,2.236,129,131,153.435,1.000,2.000,0.500,1.000
511,ER.ATL2.png,1,2.828,1.000,1.414,179,131,135.000,1.000,1.000,1.000,1.000
512,ER.ATL2.png,1,2.828,1.000,1.414,183,131,135.000,1.000,1.000,1.000,1.000
513,ER.ATL2.png,1,2.828,1.000,1.414,434,131,135.000,1.000,1.000,1.000,1.000
514,ER.ATL2.png,1,2.828,1.000,1.414,582,132,135.000,1.000,1.000,1.000,1.000
515,ER.ATL2.png,1,2.828,1.000,1.414,106,133,135.000,1.000,1.000,1.000,1.000
516,ER.ATL2.png,22,31.698,0.275,9.220,185,135,167.471,5.000,2.085,0.480,0.579
517,ER.ATL2.png,1,2.828,1.000,1.414,285,133,135.000,1.000,1.000,1.000,1.000
518,ER.ATL2.png,5,11.899,0.444,4.243,285,136,45.000,3.000,1.422,0.703,0.556
519,ER.ATL2.png,1,2.828,1.000,1.414,584,133,135.000,1.000,1.000,1.000,1.000
520,ER.ATL2.png,1,2.828,1.000,1.414,240,134,135.000,1.000,1.000,1.000,1.000
521,ER.ATL2.png,1,2.828,1.000,1.414,283,134,135.000,1.000,1.000,1.000,1.000
522,ER.ATL2.png,23,20.728,0.673,8.246,105,143,75.964,4.851,1.880,0.532,0.767
523,ER.ATL2.png,10,15.314,0.536,7.211,120,135,146.310,3.130,2.701,0.370,0.690
524,ER.ATL2.png,1,2.828,1.000,1.414,157,135,135.000,1.000,1.000,1.000,1.000
525,ER.ATL2.png,4,9.899,0.513,5.000,159,136,143.130,1.941,3.850,0.260,0.571
526,ER.ATL2.png,44,39.113,0.361,11.402,208,139,164.745,8.000,1.503,0.665,0.607
527,ER.ATL2.png,1,2.828,1.000,1.414,477,136,135.000,1.000,1.000,1.000,1.000
528,ER.ATL2.png,19,27.213,0.322,8.944,151,137,116.565,4.919,1.994,0.502,0.655
529,ER.ATL2.png,5,12.485,0.403,5.099,157,137,101.310,2.000,3.080,0.325,0.625
530,ER.ATL2.png,2,4.828,1.000,2.236,114,138,116.565,1.000,2.000,0.500,1.000
531,ER.ATL2.png,8,11.899,0.710,5.000,128,138,126.870,3.000,1.369,0.730,0.727
532,ER.ATL2.png,5,11.899,0.444,3.606,479,138,123.690,3.000,1.172,0.853,0.625
533,ER.ATL2.png,4,9.899,0.513,4.123,234,139,165.964,2.000,2.000,0.500,0.571
534,ER.ATL2.png,2,5.657,0.785,2.828,290,141,45.000,1.414,2.646,0.378,0.667
535,ER.ATL2.png,2,4.243,1.000,2.236,483,139,153.435,1.000,2.000,0.500,1.000
536,ER.ATL2.png,2,4.828,1.000,2.236,486,139,116.565,1.000,2.000,0.500,1.000
537,ER.ATL2.png,13,16.728,0.584,6.325,101,146,71.565,4.000,1.602,0.624,0.684
538,ER.ATL2.png,29,42.527,0.202,11.402,121,140,142.125,6.959,1.954,0.512,0.496
539,ER.ATL2.png,1,2.828,1.000,1.414,272,140,135.000,1.000,1.000,1.000,1.000
540,ER.ATL2.png,9,13.314,0.638,5.000,116,141,126.870,4.000,1.167,0.857,0.720
541,ER.ATL2.png,1,2.828,1.000,1.414,161,141,135.000,1.000,1.000,1.000,1.000
542,ER.ATL2.png,50,75.497,0.110,18.439,205,159,77.471,8.000,2.942,0.340,0.442
543,ER.ATL2.png,1,2.828,1.000,1.414,413,141,135.000,1.000,1.000,1.000,1.000
544,ER.ATL2.png,1,2.828,1.000,1.414,278,142,135.000,1.000,1.000,1.000,1.000
545,ER.ATL2.png,379,163.279,0.179,32.757,473,149,148.736,24.982,1.441,0.694,0.665
546,ER.ATL2.png,19,23.799,0.422,8.544,103,147,20.556,4.427,2.117,0.472,0.633
547,ER.ATL2.png,3,8.485,0.524,3.162,112,143,108.435,2.000,1.567,0.638,0.600
548,ER.ATL2.png,1,2.828,1.000,1.414,194,143,135.000,1.000,1.000,1.000,1.000
549,ER.ATL2.png,2,5.657,0.785,2.828,228,143,135.000,1.414,2.646,0.378,0.667
550,ER.ATL2.png,8,16.142,0.386,6.403,474,148,51.340,3.536,2.019,0.495,0.533
551,ER.ATL2.png,1,2.828,1.000,1.414,479,143,135.000,1.000,1.000,1.000,1.000
552,ER.ATL2.png,1,2.828,1.000,1.414,219,144,135.000,1.000,1.000,1.000,1.000
553,ER.ATL2.png,1,2.828,1.000,1.414,223,144,135.000,1.000,1.000,1.000,1.000
554,ER.ATL2.png,1,2.828,1.000,1.414,236,144,135.000,1.000,1.000,1.000,1.000
555,ER.ATL2.png,20,19.556,0.657,7.616,210,146,156.801,4.000,1.783,0.561,0.769
556,ER.ATL2.png,3,6.243,0.967,3.162,225,145,161.565,1.000,3.000,0.333,1.000
557,ER.ATL2.png,1,2.828,1.000,1.414,121,146,135.000,1.000,1.000,1.000,1.000
558,ER.ATL2.png,1,2.828,1.000,1.414,159,146,135.000,1.000,1.000,1.000,1.000
559,ER.ATL2.png,2,4.828,1.000,2.236,218,146,116.565,1.000,2.000,0.500,1.000
560,ER.ATL2.png,1,2.828,1.000,1.414,222,146,135.000,1.000,1.000,1.000,1.000
561,ER.ATL2.png,1,2.828,1.000,1.414,235,146,135.000,1.000,1.000,1.000,1.000
562,ER.ATL2.png,6,11.314,0.589,4.472,466,146,116.565,3.000,1.371,0.730,0.632
563,ER.ATL2.png,1,2.828,1.000,1.414,472,146,135.000,1.000,1.000,1.000,1.000
564,ER.ATL2.png,1,2.828,1.000,1.414,494,146,135.000,1.000,1.000,1.000,1.000
565,ER.ATL2.png,1,2.828,1.000,1.414,496,146,135.000,1.000,1.000,1.000,1.000
566,ER.ATL2.png,1,2.828,1.000,1.414,115,147,135.000,1.000,1.000,1.000,1.000
567,ER.ATL2.png,1,2.828,1.000,1.414,200,147,135.000,1.000,1.000,1.000,1.000
568,ER.ATL2.png,4,9.899,0.513,3.606,406,147,123.690,2.683,1.517,0.659,0.571
569,ER.ATL2.png,2,4.828,1.000,2.236,120,148,116.565,1.000,2.000,0.500,1.000
570,ER.ATL2.png,1,2.828,1.000,1.414,158,148,135.000,1.000,1.000,1.000,1.000
571,ER.ATL2.png,1,2.828,1.000,1.414,104,149,135.000,1.000,1.000,1.000,1.000
572,ER.ATL2.png,1,2.828,1.000,1.414,118,149,135.000,1.000,1.000,1.000,1.000
573,ER.ATL2.png,5,12.728,0.388,5.385,126,152,21.801,2.425,2.839,0.352,0.500
574,ER.ATL2.png,1,2.828,1.000,1.414,184,149,135.000,1.000,1.000,1.000,1.000
575,ER.ATL2.png,1,2.828,1.000,1.414,282,149,135.000,1.000,1.000,1.000,1.000
576,ER.ATL2.png,1,2.828,1.000,1.414,469,149,135.000,1.000,1.000,1.000,1.000
577,ER.ATL2.png,1,2.828,1.000,1.414,391,150,135.000,1.000,1.000,1.000,1.000
578,ER.ATL2.png,1,2.828,1.000,1.414,394,150,135.000,1.000,1.000,1.000,1.000
579,ER.ATL2.png,10,16.971,0.436,6.083,400,150,99.462,3.881,1.643,0.609,0.571
580,ER.ATL2.png,1,2.828,1.000,1.414,506,150,135.000,1.000,1.000,1.000,1.000
581,ER.ATL2.png,1,2.828,1.000,1.414,409,151,135.000,1.000,1.000,1.000,1.000
582,ER.ATL2.png,1,2.828,1.000,1.414,465,151,135.000,1.000,1.000,1.000,1.000
